url,reachable,status_code,robots_txt_present,robots_blocks_common_crawlers,sitemap_present,sitemap_source,jsonld_present,jsonld_block_count,jsonld_types_found,visible_text_chars,raw_html_chars,text_to_html_ratio,js_shell_suspected,title_present,title_text,meta_description_present,meta_description_length,h1_count,copyright_year_found,last_modified_header,error
https://www.allbirds.com,True,200,True,False,True,declared in robots.txt,False,0,,91261,671087,0.136,False,True,"Allbirds: Comfortable, Sustainable Shoes & Apparel",True,151,1,,,
https://www.chewy.com,True,200,True,False,True,declared in robots.txt,True,1,"ContactPoint, EntryPoint, Organization, PostalAddress, SearchAction",9223,1746425,0.0053,False,True,"Pet Food, Products and Supplies at Low Prices - Free Shipping",True,331,1,,,
https://www.glossier.com,True,200,True,False,True,declared in robots.txt,False,0,,11601,459258,0.0253,False,True,Glossier,True,8,0,2026,,
https://www.rei.com,True,403,False,False,False,,False,0,,205,365,0.5616,False,True,Access Denied,False,0,1,,,
https://www.notion.com,True,200,True,False,True,declared in robots.txt,False,0,,2561,240862,0.0106,False,True,The AI workspace that works for you. | Notion,True,124,1,2026,,
https://www.stripe.com,True,200,True,False,True,declared in robots.txt,True,1,"ContactPoint, ImageObject, Organization, Person, Place, PostalAddress, WebSite",12839,699633,0.0184,False,True,Stripe | Financial Infrastructure to Grow Your Revenue,True,148,2,2026,,
https://www.mailchimp.com,True,200,True,False,True,declared in robots.txt,True,1,"Organization, Service",11429,469447,0.0243,False,True,Email & SMS Marketing Platform | Mailchimp,True,126,6,2001,,
https://www.airtable.com,True,200,True,False,True,declared in robots.txt,False,0,,8236,452630,0.0182,False,True,"Airtable: Build Enterprise-ready AI Workflows, Apps & Agents | Airtable",True,161,1,,,
https://www.linear.app,True,200,True,False,True,declared in robots.txt,False,0,,10267,1271421,0.0081,False,True,Linear – The system for product development,True,64,1,,,
https://www.theplumberaustintx.com,False,,False,False,False,,False,0,,0,0,0.0,False,False,,False,0,0,,,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
https://www.abacusplumbing.com,True,200,True,False,False,,True,2,"AggregateRating, BreadcrumbList, EntryPoint, GeoCoordinates, HomeAndConstructionBusiness, ImageObject, ListItem, LocalBusiness, Offer, OfferCatalog, OpeningHoursSpecification, Person, Plumber, PostalAddress, SearchAction, Service, WebPage, WebSite",9691,206860,0.0468,False,True,"Plumber, Austin (512) 943-7070 Abacus Plumbing Air Conditioning & Electrician Services Austin Texas",True,143,1,2026,"Sat, 12 Sep 2026 17:38:35 GMT",
https://www.zamscapes.com,False,,False,False,False,,False,0,,0,0,0.0,False,False,,False,0,0,,,"HTTPSConnectionPool(host='www.zamscapes.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.zamscapes.com', port=443): Failed to resolve 'www.zamscapes.com' ([Errno 11001] getaddrinfo failed)""))"
https://www.brooklynroasting.com,True,200,True,False,True,declared in robots.txt,True,1,WebSite,3892,653044,0.006,False,True,Superb and Sustainable Coffees from Brooklyn Roasting Company,True,250,0,2026,,
https://www.theverge.com,True,200,True,True,True,declared in robots.txt,True,2,"EntryPoint, ImageObject, NewsMediaOrganization, Person, SearchAction, Thing, WebSite",20073,925120,0.0217,False,True,The Verge,True,221,0,2026,,
https://www.seriouseats.com,True,200,True,True,True,declared in robots.txt,True,1,"ImageObject, Organization, PostalAddress, SearchAction, WebPage, Webpage",5825,454119,0.0128,False,True,Serious Eats: Good Cooks Know How. Great Cooks Know Why.,True,184,0,,,
https://stratechery.com,True,200,True,False,True,declared in robots.txt,False,0,,183865,564866,0.3255,False,True,"Stratechery by Ben Thompson – On the business, strategy, and impact of technology.",False,0,0,,,
https://www.gong.io,True,200,True,False,True,declared in robots.txt,True,1,"ImageObject, Organization, PostalAddress, SoftwareApplication, WebPage, WebSite",13325,922174,0.0144,False,True,Gong - Revenue AI OS,True,169,1,2026,,
https://www.zendesk.com,True,200,True,False,True,declared in robots.txt,True,1,"ContactPoint, Corporation, EntryPoint, ImageObject, Offer, Organization, PostalAddress, RegisterAction, SoftwareApplication, Thing, ViewAction, WebPage, WebSite",20834,856882,0.0243,False,True,Transform Customer & Employee Service with AI Agents | Zendesk India,True,144,1,2026,"Sat, 12 Sep 2026 18:29:31 GMT",
https://www.figma.com,True,200,True,True,True,declared in robots.txt,True,1,"ContactPoint, Organization",3975,1682098,0.0024,False,True,"Figma: The collaborative canvas for design, code, and AI",True,164,1,,,
https://www.hubspot.com,True,200,True,False,True,default /sitemap.xml,True,1,"AggregateRating, Brand, ImageObject, Organization, PostalAddress, Product, PropertyValue, WebPage, WebSite",14148,641681,0.022,False,True,HubSpot | Software & Tools for your Business - Homepage,True,129,1,2026,"Fri, 11 Sep 2026 16:46:08 GMT",
https://www.moderncoffeeco.com,False,,False,False,False,,False,0,,0,0,0.0,False,False,,False,0,0,,,"HTTPSConnectionPool(host='www.moderncoffeeco.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.moderncoffeeco.com', port=443): Failed to resolve 'www.moderncoffeeco.com' ([Errno 11001] getaddrinfo failed)""))"
https://www.thehungrymouse.com,True,200,True,False,True,default /sitemap.xml,True,1,"BreadcrumbList, CollectionPage, EntryPoint, ListItem, PropertyValueSpecification, SearchAction, WebSite",9034,556297,0.0162,False,True,"The Hungry Mouse - A visual guide to food and cooking. Tasty, fresh content from Jessie Cross's kitchen.",True,85,1,2021,,
